,HrefBaseSpaceUI,Name,Id,DateCreated,DateModified,DateUploadStarted,DateUploadCompleted,DateInstrumentStarted,DateInstrumentCompleted,Number,ExperimentName,Status,ReagentBarcode,FlowcellBarcode,InstrumentName,InstrumentType,PlatformName,Workflow,NumCyclesRead1,NumCyclesRead2,NumCyclesIndex1,NumCyclesIndex2,LaneAndQcStatus,LimsStatus,TotalSize,IsFileDataDeleted,IsArchived,UserOwnedBy.Id,UserOwnedBy.Name,UserOwnedBy.GravatarUrl,UserOwnedBy.DateLastActive,UserOwnedBy.DateCreated,Instrument.InstrumentId,Instrument.Name,Instrument.SerialNumber,SequencingStats.Chemistry,SequencingStats.ClusterDensity,SequencingStats.Clusters,SequencingStats.ClustersPf,SequencingStats.ErrorRate,SequencingStats.ErrorRateR1,SequencingStats.ErrorRateR2,SequencingStats.Href,SequencingStats.IntensityCycle1,SequencingStats.IsIndexed,SequencingStats.MaxCycleCalled,SequencingStats.MaxCycleExtracted,SequencingStats.MaxCycleScored,SequencingStats.MinCycleCalled,SequencingStats.MinCycleExtracted,SequencingStats.MinCycleScored,SequencingStats.NonIndexedErrorRate,SequencingStats.NonIndexedIntensityCycle1,SequencingStats.NonIndexedPercentAligned,SequencingStats.NonIndexedPercentGtQ30,SequencingStats.NonIndexedProjectedTotalYield,SequencingStats.NonIndexedYieldTotal,SequencingStats.NumCyclesIndex1,SequencingStats.NumCyclesIndex2,SequencingStats.NumCyclesRead1,SequencingStats.NumCyclesRead2,SequencingStats.NumLanes,SequencingStats.NumReads,SequencingStats.NumSurfaces,SequencingStats.NumSwathsPerLane,SequencingStats.NumTilesPerSwath,SequencingStats.PercentAligned,SequencingStats.PercentGtQ30,SequencingStats.PercentGtQ30R1,SequencingStats.PercentGtQ30R2,SequencingStats.PercentPf,SequencingStats.PercentResynthesis,SequencingStats.PhasingR1,SequencingStats.PhasingR2,SequencingStats.PrePhasingR1,SequencingStats.PrePhasingR2,SequencingStats.ProjectedTotalYield,SequencingStats.ReadsPfTotal,SequencingStats.ReadsTotal,SequencingStats.YieldTotal,Reads_paired_PF
0,https://basespace.illumina.com/run/198369198/05NOV2020-4A-4B-4D,201105_M01605_0276_000000000-G5548,198369198,2020-11-05T22:47:00Z,2020-11-06T20:04:20Z,2020-11-05T22:51:41Z,2020-11-06T16:11:01Z,2020-11-05T22:47:00Z,2020-11-06T16:06:12Z,276,05NOV2020 4A 4B 4D,Complete,MS9482713-300V2,000000000-G5548,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,QcPassed,NoLims,1045177526,False,False,10928924,Claire Wenger,https://secure.gravatar.com/avatar/cc7c596663e51c8329cff81d80e73c97.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Default,525657.0,2956786.0,2781788.0,0.0,0.0,0.0,v1pre3/runs/198369198/sequencingstats,155.667,True,308,308,308,308,308,308,0.0,84.75,0.00551251,75.4033,0.828973,0.828973,8,0,90,210,1,3,2,1,4,0.00551251,75.8738,77.0559,74.6996,0.940815,76.1039,0.116506,0.0195989,0.0887864,0.0,0.848445,8345364,8870358,0.848445,2086341.0
0,https://basespace.illumina.com/run/212631428/082621_Leo_Alberto_DSP,210826_M01605_0327_000000000-G96WV,212631428,2021-08-26T20:07:25Z,2021-08-27T14:38:32Z,2021-08-26T20:13:26Z,2021-08-27T14:27:45Z,2021-08-26T20:07:25Z,2021-08-27T14:22:10Z,327,082621_Leo_Alberto_DSP,Complete,MS3235966-300V2,000000000-G96WV,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,QcPassed,NoLims,909931726,False,False,19423405,Kathleen Leeper,https://secure.gravatar.com/avatar/628b58886528d50431c8405e47b9b773.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Amplicon,423761.0,2456014.0,2291703.0,0.608301,0.637973,0.578629,v1pre3/runs/212631428/sequencingstats,167.875,True,316,316,316,316,316,316,0.608301,132.562,10.927,97.6883,0.682927,0.682927,8,8,150,150,1,4,2,1,4,10.927,97.3253,98.1148,97.2618,0.933098,76.3092,0.14337,0.164264,0.0358965,0.0272014,0.715011,9166812,9824056,0.715011,2291703.0
0,https://basespace.illumina.com/run/198410273/15028382,201109_M01605_0277_000000000-JD785,198410273,2020-11-09T22:51:59Z,2020-11-10T03:43:54Z,2020-11-09T22:55:36Z,2020-11-10T03:43:54Z,2020-11-09T22:51:58Z,2020-11-10T03:43:37Z,277,15028382,Complete,MS2044344-050V2,000000000-JD785,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,Initial,NoLims,57903659,False,False,19423405,Kathleen Leeper,https://secure.gravatar.com/avatar/628b58886528d50431c8405e47b9b773.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Default,1404770.0,26188031.0,22423143.0,0.145131,0.145131,0.0,v1pre3/runs/198410273/sequencingstats,120.429,False,50,50,50,50,50,50,0.145131,120.429,99.4231,95.7336,1.09873,1.09873,0,0,50,0,1,1,2,1,14,99.4231,95.7336,95.7336,0.0,0.856236,100.0,0.0844966,0.0,0.0521872,0.0,1.09873,22423144,26188032,1.09873,5605786.0
0,https://basespace.illumina.com/run/192659554/191220_Davis-lib,191220_M05707_0086_000000000-G4WBD,192659554,2019-12-20T23:06:53Z,2019-12-23T15:46:46Z,2019-12-20T23:11:48Z,2019-12-21T15:09:31Z,2019-12-20T23:06:53Z,2019-12-21T15:04:11Z,86,191220_Davis-lib,Complete,MS5887082-300V2,000000000-G4WBD,M05707R,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,QcPassed,NoLims,1520395551,False,False,18178173,Reza Kalhor,https://secure.gravatar.com/avatar/a487bd80fe7d64c139431e3ba2cb5e72.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,9810801,M05707R,M05707R,Amplicon,,5352490.0,3852563.0,1.07837,1.07837,0.0,v1pre3/runs/192659554/sequencingstats,346.25,True,266,266,266,266,266,266,1.07837,106.625,12.863,71.7267,0.955436,0.955436,8,8,190,60,1,4,2,1,4,12.863,72.0485,91.7381,7.62239,0.71977,11.3577,0.109272,0.0,0.0871698,0.0,1.00937,15410252,21409960,1.00937,3852563.0
0,https://basespace.illumina.com/run/195443284/200527_KL,200527_M01605_0261_000000000-J657H,195443284,2020-05-27T22:27:51Z,2021-03-09T17:56:21Z,2020-05-27T22:30:50Z,2020-05-28T23:24:33Z,2020-05-27T22:27:51Z,2020-05-28T23:21:55Z,261,200527_KL,Complete,MS9814134-300V2,000000000-J657H,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,QcPassed,NoLims,5845686138,False,False,19423405,Kathleen Leeper,https://secure.gravatar.com/avatar/628b58886528d50431c8405e47b9b773.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Amplicon,,16939212.0,15627924.0,0.757466,0.495672,1.01926,v1pre3/runs/195443284/sequencingstats,82.1339,True,316,316,316,316,316,316,0.757466,79.2321,32.9781,94.9184,4.65712,4.65712,8,8,135,165,1,4,2,1,14,32.9781,94.2489,96.7046,93.4591,0.922589,36.5231,0.0156491,0.0617188,0.073465,0.27904,4.87591,62511696,67756848,4.87591,15627924.0
0,https://basespace.illumina.com/run/195905742/200625_Bell02,200625_M01605_0263_000000000-D88RF,195905742,2020-06-25T17:06:26Z,2020-06-26T19:12:15Z,2020-06-25T17:12:41Z,2020-06-26T06:50:08Z,2020-06-25T17:06:26Z,2020-06-26T06:44:56Z,263,200625_Bell02,Complete,MS9293111-300V2,000000000-D88RF,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,QcPassed,NoLims,419483953,False,False,10928924,Claire Wenger,https://secure.gravatar.com/avatar/cc7c596663e51c8329cff81d80e73c97.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Amplicon,,1369831.0,540617.0,1.31217,1.71293,0.510656,v1pre3/runs/195905742/sequencingstats,163.125,True,266,266,266,266,266,266,1.31217,62.75,6.81153,78.4718,0.134073,0.134073,8,8,190,60,1,4,1,1,2,6.81153,78.2705,79.6645,74.6509,0.39466,23.0392,0.0847279,0.140235,0.0698615,0.464677,0.141642,2162468,5479324,0.141642,540617.0
0,https://basespace.illumina.com/run/196200043/200713_KL-Davis05-AJE02-Bell03-DEB02,200713_M01605_0265_000000000-G5GWY,196200043,2020-07-13T19:10:51Z,2020-07-31T15:50:32Z,2020-07-13T19:16:28Z,2020-07-14T11:09:31Z,2020-07-13T19:10:51Z,2020-07-14T11:07:09Z,265,200713_KL-Davis05-AJE02-Bell03-DEB02,Complete,MS9814114-300V2,000000000-G5GWY,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,QcPassed,NoLims,1391466387,False,False,19423405,Kathleen Leeper,https://secure.gravatar.com/avatar/628b58886528d50431c8405e47b9b773.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Amplicon,,4676551.0,2512177.0,1.04301,1.40343,0.562451,v1pre3/runs/196200043/sequencingstats,182.625,True,266,266,266,266,266,266,1.04301,76.5,11.0025,89.4249,0.62302,0.62302,8,8,190,60,1,4,2,1,4,11.0025,88.976,89.7768,88.2978,0.537186,23.6364,0.05933,0.175836,0.128696,0.606986,0.65819,10048708,18706204,0.65819,2512177.0
0,https://basespace.illumina.com/run/196885731/200818_KL-AJE03-DEB03,200819_M01605_0267_000000000-G5G7G,196885731,2020-08-19T23:27:50Z,2020-08-20T20:27:38Z,2020-08-19T23:31:48Z,2020-08-20T17:45:30Z,2020-08-19T23:27:50Z,2020-08-20T17:42:46Z,267,200818_KL-AJE03-DEB03,Complete,MS9942821-300V2,000000000-G5G7G,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,QcPassed,NoLims,1089578158,False,False,19423405,Kathleen Leeper,https://secure.gravatar.com/avatar/628b58886528d50431c8405e47b9b773.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Amplicon,,2991607.0,1908254.0,0.846632,0.707972,1.06849,v1pre3/runs/196885731/sequencingstats,187.062,True,316,316,316,316,316,316,0.846632,74.5,16.2416,89.4077,0.56866,0.56866,8,8,135,165,1,4,2,1,4,16.2416,89.0054,93.7797,85.8355,0.637869,23.5233,0.0575954,0.192386,0.153962,0.517842,0.595375,7633016,11966428,0.595375,1908254.0
0,https://basespace.illumina.com/run/197252110/200909_Davis06-AJE03v2-Bell03,200909_M01605_0268_000000000-G6DMV,197252110,2020-09-09T17:05:46Z,2020-09-23T20:37:53Z,2020-09-09T17:08:20Z,2020-09-10T11:25:05Z,2020-09-09T17:05:46Z,2020-09-10T11:19:20Z,268,200909_Davis06-AJE03v2-Bell03,Complete,MS3124669-300V2,000000000-G6DMV,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,QcPassed,NoLims,1912476173,False,False,19423405,Kathleen Leeper,https://secure.gravatar.com/avatar/628b58886528d50431c8405e47b9b773.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Amplicon,,5517069.0,4525652.0,0.640765,0.640765,0.0,v1pre3/runs/197252110/sequencingstats,219.25,True,316,316,316,316,316,316,0.640765,71.125,9.2261,80.0326,1.34864,1.34864,8,8,135,165,1,4,2,1,4,9.2261,79.9243,91.6996,70.4998,0.8203,21.7112,0.0171254,0.425562,0.105046,0.416686,1.412,18102608,22068276,1.412,4525652.0
0,https://basespace.illumina.com/run/197364170/200915_KL-PhiX-run,200915_M01605_0269_000000000-G5DWB,197364170,2020-09-15T23:19:20Z,2020-12-14T23:41:32Z,2020-09-15T23:24:45Z,,2020-09-15T23:19:20Z,2020-09-16T07:13:33Z,269,200915_KL-PhiX-run,Timed Out,MS9860861-300V2,000000000-G5DWB,M01605,MiSeq,MiSeq,GenerateFASTQ,0,0,0,0,Initial,NoLims,586412833,False,False,19423405,Kathleen Leeper,https://secure.gravatar.com/avatar/628b58886528d50431c8405e47b9b773.jpg?s=20&d=mm&r=PG,,0001-01-01T00:00:00.0000000Z,330330,M01605,M01605,Amplicon,718668.0,4040335.0,3863196.0,0.0904918,0.0904918,0.0,v1pre3/runs/197364170/sequencingstats,117.0,True,26,27,26,26,27,26,0.0904918,117.0,99.0011,98.5149,1.15123,0.100443,8,8,135,165,1,4,2,1,4,99.0011,98.5149,98.5149,0.0,0.956157,0.0,0.0729771,0.0,0.0577638,0.0,1.20532,15452784,16161340,0.100443,3863196.0
